Product_Identifier,Supermarket_Identifier,Product_Supermarket_Identifier,Product_Weight,Product_Fat_Content,Product_Shelf_Visibility,Product_Type,Product_Price,Supermarket_Opening_Year,Supermarket _Size,Supermarket_Location_Type,Supermarket_Type,Product_Supermarket_Sales
DRC27,CHUKWUDI017,DRC27_CHUKWUDI017,13.8,Low Fat,0.05843112,Dairy,609.2,2014,,Cluster 2,Supermarket Type1,4913.6
DRC27,CHUKWUDI035,DRC27_CHUKWUDI035,13.8,Low Fat,0.058091482,Dairy,612.95,2011,Small,Cluster 2,Supermarket Type1,14126.61
DRC27,CHUKWUDI045,DRC27_CHUKWUDI045,13.8,Low Fat,0.058220302,Dairy,618.7,2009,,Cluster 2,Supermarket Type1,3685.2
DRC36,CHUKWUDI017,DRC36_CHUKWUDI017,13,Normal Fat,0.045239326,Soft Drinks,435.26,2014,,Cluster 2,Supermarket Type1,10944.09
DRC36,CHUKWUDI027,DRC36_CHUKWUDI027,,Normal Fat,0.044767032,Soft Drinks,434.26,1992,Medium,Cluster 3,Supermarket Type3,14446.2
DRC36,CHUKWUDI035,DRC36_CHUKWUDI035,13,Normal Fat,0.044976367,Soft Drinks,440.51,2011,Small,Cluster 2,Supermarket Type1,3064.34
DRC36,CHUKWUDI046,DRC36_CHUKWUDI046,13,Normal Fat,0.044984874,Soft Drinks,437.51,2004,Small,Cluster 1,Supermarket Type1,4815.4
DRC49,CHUKWUDI027,DRC49_CHUKWUDI027,,Ultra Low fat,0.065119701,Soft Drinks,364.28,1992,Medium,Cluster 3,Supermarket Type3,10066.9
DRC49,CHUKWUDI035,DRC49_CHUKWUDI035,8.67,Low Fat,0.065424208,Soft Drinks,364.53,2011,Small,Cluster 2,Supermarket Type1,6112.04
DRC49,CHUKWUDI046,DRC49_CHUKWUDI046,8.67,Low Fat,0.065436581,Soft Drinks,357.28,2004,Small,Cluster 1,Supermarket Type1,5033.45
DRD12,CHUKWUDI013,DRD12_CHUKWUDI013,6.96,Low Fat,0.077129323,Soft Drinks,231.79,1994,High,Cluster 3,Supermarket Type1,4332.69
DRD13,CHUKWUDI013,DRD13_CHUKWUDI013,15,Low Fat,0.049038621,Soft Drinks,163.54,1994,High,Cluster 3,Supermarket Type1,4154.59
DRD15,CHUKWUDI019,DRD15_CHUKWUDI019,,Low Fat,0.099442329,Dairy,582.91,1992,Small,Cluster 1,Grocery Store,1742.73
DRD15,CHUKWUDI035,DRD15_CHUKWUDI035,10.6,Low Fat,0.056785183,Dairy,579.91,2011,Small,Cluster 2,Supermarket Type1,5228.19
DRD15,CHUKWUDI045,DRD15_CHUKWUDI045,10.6,Low Fat,0.056911107,Dairy,584.91,2009,,Cluster 2,Supermarket Type1,9294.57
DRD24,CHUKWUDI010,DRD24_CHUKWUDI010,13.85,Low Fat,0.051544658,Soft Drinks,356.29,2005,,Cluster 3,Grocery Store,354.54
DRD24,CHUKWUDI013,DRD24_CHUKWUDI013,13.85,Low Fat,0.030769458,Soft Drinks,354.29,1994,High,Cluster 3,Supermarket Type1,7445.31
DRD24,CHUKWUDI017,DRD24_CHUKWUDI017,13.85,Low Fat,0.030969274,Soft Drinks,352.29,2014,,Cluster 2,Supermarket Type1,4254.46
DRD24,CHUKWUDI018,DRD24_CHUKWUDI018,13.85,Low Fat,0.030920531,Soft Drinks,352.54,2016,Medium,Cluster 3,Supermarket Type2,4254.46
DRD24,CHUKWUDI046,DRD24_CHUKWUDI046,13.85,Low Fat,0.030795085,Soft Drinks,358.29,2004,Small,Cluster 1,Supermarket Type1,4963.54
DRD24,CHUKWUDI049,DRD24_CHUKWUDI049,13.85,Low Fat,0.030842963,Soft Drinks,357.79,2006,Medium,Cluster 1,Supermarket Type1,6381.69
DRD25,CHUKWUDI010,DRD25_CHUKWUDI010,6.135,Low Fat,0.132183029,Soft Drinks,287.72,2005,,Cluster 3,Grocery Store,1131.86
DRD25,CHUKWUDI018,DRD25_CHUKWUDI018,6.135,Ultra Low fat,0.079293753,Soft Drinks,278.22,2016,Medium,Cluster 3,Supermarket Type2,5659.3
DRD25,CHUKWUDI019,DRD25_CHUKWUDI019,,Low Fat,0.138269873,Soft Drinks,279.22,1992,Small,Cluster 1,Grocery Store,1131.86
DRD25,CHUKWUDI046,DRD25_CHUKWUDI046,6.135,Low Fat,0,Soft Drinks,285.72,2004,Small,Cluster 1,Supermarket Type1,5942.27
DRD25,CHUKWUDI049,DRD25_CHUKWUDI049,6.135,Low Fat,0.079094835,Soft Drinks,285.97,2006,Medium,Cluster 1,Supermarket Type1,2546.69
DRD27,CHUKWUDI013,DRD27_CHUKWUDI013,18.75,Low Fat,0.023820082,Dairy,244.01,1994,High,Cluster 3,Supermarket Type1,3720.16
DRD27,CHUKWUDI049,DRD27_CHUKWUDI049,18.75,Low Fat,0.023876985,Dairy,243.51,2006,Medium,Cluster 1,Supermarket Type1,5704.24
DRD37,CHUKWUDI010,DRD37_CHUKWUDI010,9.8,Ultra Low fat,0.02316823,Soft Drinks,118.77,2005,,Cluster 3,Grocery Store,466.06
DRD37,CHUKWUDI013,DRD37_CHUKWUDI013,9.8,Low Fat,0.013830218,Soft Drinks,113.27,1994,High,Cluster 3,Supermarket Type1,3262.42
DRD49,CHUKWUDI017,DRD49_CHUKWUDI017,9.895,Low Fat,0.168780385,Soft Drinks,592.14,2014,,Cluster 2,Supermarket Type1,11917.82
DRD49,CHUKWUDI035,DRD49_CHUKWUDI035,9.895,Low Fat,0.167799329,Soft Drinks,598.64,2011,Small,Cluster 2,Supermarket Type1,13109.6
DRD49,CHUKWUDI045,DRD49_CHUKWUDI045,9.895,Low Fat,0.16817143,Soft Drinks,594.39,2009,,Cluster 2,Supermarket Type1,9534.26
DRD60,CHUKWUDI018,DRD60_CHUKWUDI018,15.7,Ultra Low fat,0.037383778,Soft Drinks,449.41,2016,Medium,Cluster 3,Supermarket Type2,4544.09
DRD60,CHUKWUDI019,DRD60_CHUKWUDI019,,Low Fat,0.065188619,Soft Drinks,452.91,1992,Small,Cluster 1,Grocery Store,454.41
DRD60,CHUKWUDI035,DRD60_CHUKWUDI035,15.7,Low Fat,0.03722507,Soft Drinks,456.16,2011,Small,Cluster 2,Supermarket Type1,4998.49
DRD60,CHUKWUDI046,DRD60_CHUKWUDI046,15.7,Low Fat,0.03723211,Soft Drinks,457.91,2004,Small,Cluster 1,Supermarket Type1,14086.66
DRD60,CHUKWUDI049,DRD60_CHUKWUDI049,15.7,Low Fat,0.037289996,Soft Drinks,456.91,2006,Medium,Cluster 1,Supermarket Type1,8633.76
DRE03,CHUKWUDI010,DRE03_CHUKWUDI010,19.6,Low Fat,0.040550868,Dairy,113.93,2005,,Cluster 3,Grocery Store,118.18
DRE12,CHUKWUDI013,DRE12_CHUKWUDI013,4.59,Low Fat,0.070721656,Soft Drinks,283.22,1994,High,Cluster 3,Supermarket Type1,3678.55
DRE12,CHUKWUDI046,DRE12_CHUKWUDI046,4.59,Low Fat,0.070780558,Soft Drinks,286.47,2004,Small,Cluster 1,Supermarket Type1,3112.62
DRE12,CHUKWUDI049,DRE12_CHUKWUDI049,4.59,Low Fat,0.070890602,Soft Drinks,279.22,2006,Medium,Cluster 1,Supermarket Type1,3961.51
DRE13,CHUKWUDI013,DRE13_CHUKWUDI013,6.28,Low Fat,0.027682047,Soft Drinks,213.8,1994,High,Cluster 3,Supermarket Type1,4360.99
DRE25,CHUKWUDI046,DRE25_CHUKWUDI046,15.35,Low Fat,0.073283193,Soft Drinks,229.53,2004,Small,Cluster 1,Supermarket Type1,4427.57
DRE25,CHUKWUDI049,DRE25_CHUKWUDI049,15.35,Low Fat,0.073397129,Soft Drinks,229.78,2006,Medium,Cluster 1,Supermarket Type1,6524.84
DRE27,CHUKWUDI010,DRE27_CHUKWUDI010,11.85,Low Fat,0.222063351,Dairy,249.18,2005,,Cluster 3,Grocery Store,489.36
DRE27,CHUKWUDI013,DRE27_CHUKWUDI013,11.85,Low Fat,0.132560174,Dairy,243.18,1994,High,Cluster 3,Supermarket Type1,1957.45
DRE27,CHUKWUDI046,DRE27_CHUKWUDI046,11.85,Low Fat,0.13267058,Dairy,241.18,2004,Small,Cluster 1,Supermarket Type1,2446.82
DRE27,CHUKWUDI049,DRE27_CHUKWUDI049,11.85,Low Fat,0.132876847,Dairy,245.18,2006,Medium,Cluster 1,Supermarket Type1,2691.5
DRE37,CHUKWUDI018,DRE37_CHUKWUDI018,13.5,Ultra Low fat,0.094603404,Soft Drinks,467.72,2016,Medium,Cluster 3,Supermarket Type2,8036.21
DRE37,CHUKWUDI019,DRE37_CHUKWUDI019,,Low Fat,0.164966345,Soft Drinks,473.72,1992,Small,Cluster 1,Grocery Store,472.72
DRE37,CHUKWUDI035,DRE37_CHUKWUDI035,13.5,Low Fat,0,Soft Drinks,472.97,2011,Small,Cluster 2,Supermarket Type1,4727.18
DRE37,CHUKWUDI046,DRE37_CHUKWUDI046,13.5,Low Fat,0.094219593,Soft Drinks,474.97,2004,Small,Cluster 1,Supermarket Type1,3309.03
DRE37,CHUKWUDI049,DRE37_CHUKWUDI049,13.5,Low Fat,0.094366079,Soft Drinks,477.47,2006,Medium,Cluster 1,Supermarket Type1,7090.77
DRE48,CHUKWUDI017,DRE48_CHUKWUDI017,8.43,Low Fat,0,Soft Drinks,488.44,2014,,Cluster 2,Supermarket Type1,3941.54
DRE48,CHUKWUDI018,DRE48_CHUKWUDI018,8.43,Low Fat,0.017396308,Soft Drinks,490.19,2016,Medium,Cluster 3,Supermarket Type2,10346.53
DRE48,CHUKWUDI027,DRE48_CHUKWUDI027,,Low Fat,0.01724183,Soft Drinks,492.69,1992,Medium,Cluster 3,Supermarket Type3,22171.14
DRE48,CHUKWUDI035,DRE48_CHUKWUDI035,8.43,Ultra Low fat,0.017322454,Soft Drinks,492.19,2011,Small,Cluster 2,Supermarket Type1,8375.76
DRE48,CHUKWUDI045,DRE48_CHUKWUDI045,8.43,Low Fat,0.017360867,Soft Drinks,490.69,2009,,Cluster 2,Supermarket Type1,3941.54
DRE49,CHUKWUDI010,DRE49_CHUKWUDI010,20.75,Low Fat,0.035568147,Soft Drinks,379.51,2005,,Cluster 3,Grocery Store,379.51
DRE49,CHUKWUDI013,DRE49_CHUKWUDI013,20.75,Low Fat,0.021232318,Soft Drinks,377.76,1994,High,Cluster 3,Supermarket Type1,6072.1
DRE49,CHUKWUDI017,DRE49_CHUKWUDI017,20.75,Low Fat,0.021370201,Soft Drinks,382.51,2014,,Cluster 2,Supermarket Type1,5692.59
DRE49,CHUKWUDI018,DRE49_CHUKWUDI018,20.75,Low Fat,0.021336565,Soft Drinks,384.01,2016,Medium,Cluster 3,Supermarket Type2,3415.55
DRE49,CHUKWUDI027,DRE49_CHUKWUDI027,,Low Fat,0,Soft Drinks,384.51,1992,Medium,Cluster 3,Supermarket Type3,19354.81
DRE49,CHUKWUDI035,DRE49_CHUKWUDI035,20.75,Low Fat,0,Soft Drinks,382.51,2011,Small,Cluster 2,Supermarket Type1,6072.1
DRE49,CHUKWUDI045,DRE49_CHUKWUDI045,20.75,Low Fat,0.021293097,Soft Drinks,379.76,2009,,Cluster 2,Supermarket Type1,6831.11
DRE49,CHUKWUDI046,DRE49_CHUKWUDI046,20.75,Ultra Low fat,0.021250002,Soft Drinks,376.26,2004,Small,Cluster 1,Supermarket Type1,6451.6
DRE49,CHUKWUDI049,DRE49_CHUKWUDI049,20.75,Low Fat,0.02128304,Soft Drinks,383.76,2006,Medium,Cluster 1,Supermarket Type1,6072.1
DRE60,CHUKWUDI017,DRE60_CHUKWUDI017,9.395,Low Fat,0.160235723,Soft Drinks,569.68,2014,,Cluster 2,Supermarket Type1,3961.51
DRE60,CHUKWUDI019,DRE60_CHUKWUDI019,,Low Fat,0.278974075,Soft Drinks,563.43,1992,Small,Cluster 1,Grocery Store,1697.79
DRE60,CHUKWUDI035,DRE60_CHUKWUDI035,9.395,Low Fat,0.159304333,Soft Drinks,565.43,2011,Small,Cluster 2,Supermarket Type1,9620.81
DRE60,CHUKWUDI045,DRE60_CHUKWUDI045,9.395,Low Fat,0.159657596,Soft Drinks,562.43,2009,,Cluster 2,Supermarket Type1,19241.62
DRE60,CHUKWUDI049,DRE60_CHUKWUDI049,9.395,Low Fat,0.159582185,Soft Drinks,561.93,2006,Medium,Cluster 1,Supermarket Type1,17543.83
DRF01,CHUKWUDI013,DRF01_CHUKWUDI013,5.655,Low Fat,0.174934513,Soft Drinks,362.53,1994,High,Cluster 3,Supermarket Type1,4738.83
DRF01,CHUKWUDI017,DRF01_CHUKWUDI017,5.655,Ultra Low fat,0.176070535,Soft Drinks,360.03,2014,,Cluster 2,Supermarket Type1,4374.31
DRF01,CHUKWUDI018,DRF01_CHUKWUDI018,5.655,Low Fat,0.175793413,Soft Drinks,367.28,2016,Medium,Cluster 3,Supermarket Type2,4374.31
DRF01,CHUKWUDI019,DRF01_CHUKWUDI019,,Low Fat,0.306542848,Soft Drinks,368.28,1992,Small,Cluster 1,Grocery Store,729.05
DRF01,CHUKWUDI027,DRF01_CHUKWUDI027,,Low Fat,0.174232377,Soft Drinks,366.53,1992,Medium,Cluster 3,Supermarket Type3,4738.83
DRF01,CHUKWUDI035,DRF01_CHUKWUDI035,5.655,Ultra Low fat,0.175047104,Soft Drinks,367.28,2011,Small,Cluster 2,Supermarket Type1,4738.83
DRF01,CHUKWUDI046,DRF01_CHUKWUDI046,5.655,Low Fat,0,Soft Drinks,368.78,2004,Small,Cluster 1,Supermarket Type1,2916.2
DRF01,CHUKWUDI049,DRF01_CHUKWUDI049,5.655,Low Fat,0.175352413,Soft Drinks,368.53,2006,Medium,Cluster 1,Supermarket Type1,6196.93
DRF03,CHUKWUDI010,DRF03_CHUKWUDI010,19.1,Low Fat,0.075836522,Dairy,100.53,2005,,Cluster 3,Grocery Store,203.07
DRF03,CHUKWUDI013,DRF03_CHUKWUDI013,19.1,Low Fat,0.045270426,Dairy,97.03,1994,High,Cluster 3,Supermarket Type1,1827.62
DRF13,CHUKWUDI013,DRF13_CHUKWUDI013,12.1,Low Fat,0,Soft Drinks,362.86,1994,High,Cluster 3,Supermarket Type1,8345.8
DRF13,CHUKWUDI017,DRF13_CHUKWUDI017,12.1,Low Fat,0.029949818,Soft Drinks,365.86,2014,,Cluster 2,Supermarket Type1,9434.39
DRF13,CHUKWUDI018,DRF13_CHUKWUDI018,12.1,Low Fat,0.029902679,Soft Drinks,360.86,2016,Medium,Cluster 3,Supermarket Type2,2902.89
DRF13,CHUKWUDI045,DRF13_CHUKWUDI045,12.1,Low Fat,0.02984176,Soft Drinks,361.11,2009,,Cluster 2,Supermarket Type1,9071.53
DRF13,CHUKWUDI046,DRF13_CHUKWUDI046,12.1,Low Fat,0.029781363,Soft Drinks,367.36,2004,Small,Cluster 1,Supermarket Type1,3991.47
DRF13,CHUKWUDI049,DRF13_CHUKWUDI049,12.1,Low Fat,0.029827665,Soft Drinks,360.86,2006,Medium,Cluster 1,Supermarket Type1,6531.5
DRF15,CHUKWUDI013,DRF15_CHUKWUDI013,18.35,Ultra Low fat,0,Dairy,379.84,1994,High,Cluster 3,Supermarket Type1,765.67
DRF15,CHUKWUDI018,DRF15_CHUKWUDI018,18.35,Low Fat,0.03334929,Dairy,387.59,2016,Medium,Cluster 3,Supermarket Type2,4976.86
DRF15,CHUKWUDI019,DRF15_CHUKWUDI019,,Low Fat,0.058153409,Dairy,380.09,1992,Small,Cluster 1,Grocery Store,765.67
DRF15,CHUKWUDI046,DRF15_CHUKWUDI046,18.35,Low Fat,0.03321399,Dairy,387.34,2004,Small,Cluster 1,Supermarket Type1,3062.68
DRF23,CHUKWUDI010,DRF23_CHUKWUDI010,4.61,Low Fat,0.205294827,Hard Drinks,432.1,2005,,Cluster 3,Grocery Store,436.1
DRF23,CHUKWUDI017,DRF23_CHUKWUDI017,4.61,Low Fat,0.123346085,Hard Drinks,431.35,2014,,Cluster 2,Supermarket Type1,9158.08
DRF23,CHUKWUDI018,DRF23_CHUKWUDI018,4.61,Low Fat,0.123151947,Hard Drinks,438.1,2016,Medium,Cluster 3,Supermarket Type2,5233.19
DRF23,CHUKWUDI027,DRF23_CHUKWUDI027,,Low Fat,0.122058364,Hard Drinks,432.1,1992,Medium,Cluster 3,Supermarket Type3,17880.06
DRF23,CHUKWUDI035,DRF23_CHUKWUDI035,4.61,Low Fat,0.122629121,Hard Drinks,438.6,2011,Small,Cluster 2,Supermarket Type1,6541.49
DRF23,CHUKWUDI045,DRF23_CHUKWUDI045,4.61,Low Fat,0.122901056,Hard Drinks,436.1,2009,,Cluster 2,Supermarket Type1,6541.49
DRF23,CHUKWUDI046,DRF23_CHUKWUDI046,4.61,Low Fat,0,Hard Drinks,434.6,2004,Small,Cluster 1,Supermarket Type1,3052.69
DRF23,CHUKWUDI049,DRF23_CHUKWUDI049,4.61,Low Fat,0.122843005,Hard Drinks,431.1,2006,Medium,Cluster 1,Supermarket Type1,3924.89
DRF25,CHUKWUDI013,DRF25_CHUKWUDI013,9,Low Fat,0.038892859,Soft Drinks,90.3,1994,High,Cluster 3,Supermarket Type1,2746.43
DRF27,CHUKWUDI013,DRF27_CHUKWUDI013,8.93,Low Fat,0.028393624,Dairy,383.59,1994,High,Cluster 3,Supermarket Type1,3445.52
DRF27,CHUKWUDI017,DRF27_CHUKWUDI017,8.93,Low Fat,0.028578012,Dairy,380.59,2014,,Cluster 2,Supermarket Type1,9570.88
DRF27,CHUKWUDI018,DRF27_CHUKWUDI018,8.93,Low Fat,0.028533032,Dairy,378.59,2016,Medium,Cluster 3,Supermarket Type2,3062.68
DRF27,CHUKWUDI019,DRF27_CHUKWUDI019,,Low Fat,0.049754975,Dairy,380.34,1992,Small,Cluster 1,Grocery Store,382.84
DRF27,CHUKWUDI027,DRF27_CHUKWUDI027,,Low Fat,0.02827966,Dairy,380.59,1992,Medium,Cluster 3,Supermarket Type3,2679.85
DRF27,CHUKWUDI035,DRF27_CHUKWUDI035,8.93,Low Fat,0.028411899,Dairy,380.84,2011,Small,Cluster 2,Supermarket Type1,5359.69
DRF27,CHUKWUDI046,DRF27_CHUKWUDI046,8.93,Low Fat,0.028417272,Dairy,386.34,2004,Small,Cluster 1,Supermarket Type1,6508.2
DRF27,CHUKWUDI049,DRF27_CHUKWUDI049,8.93,Low Fat,0.028461453,Dairy,380.59,2006,Medium,Cluster 1,Supermarket Type1,12633.56
DRF36,CHUKWUDI018,DRF36_CHUKWUDI018,16.1,Low Fat,0.023673342,Soft Drinks,472.71,2016,Medium,Cluster 3,Supermarket Type2,13375.92
DRF36,CHUKWUDI027,DRF36_CHUKWUDI027,,Low Fat,0.023463124,Soft Drinks,476.71,1992,Medium,Cluster 3,Supermarket Type3,23885.58
DRF36,CHUKWUDI045,DRF36_CHUKWUDI045,16.1,Ultra Low fat,0.023625114,Soft Drinks,473.46,2009,,Cluster 2,Supermarket Type1,9076.52
DRF36,CHUKWUDI046,DRF36_CHUKWUDI046,16.1,Low Fat,0.023577298,Soft Drinks,481.71,2004,Small,Cluster 1,Supermarket Type1,7165.67
DRF36,CHUKWUDI049,DRF36_CHUKWUDI049,16.1,Low Fat,0.023613955,Soft Drinks,482.21,2006,Medium,Cluster 1,Supermarket Type1,13375.92
DRF37,CHUKWUDI017,DRF37_CHUKWUDI017,17.25,Low Fat,0.084809658,Soft Drinks,652.98,2014,,Cluster 2,Supermarket Type1,7889.73
DRF37,CHUKWUDI019,DRF37_CHUKWUDI019,,Low Fat,0,Soft Drinks,653.23,1992,Small,Cluster 1,Grocery Store,1972.43
DRF48,CHUKWUDI045,DRF48_CHUKWUDI045,5.73,Low Fat,0.05190652,Soft Drinks,470.47,2009,,Cluster 2,Supermarket Type1,3741.8
DRF49,CHUKWUDI018,DRF49_CHUKWUDI018,7.27,Low Fat,0.07136748,Soft Drinks,279.63,2016,Medium,Cluster 3,Supermarket Type2,5692.59
DRF49,CHUKWUDI019,DRF49_CHUKWUDI019,,Low Fat,0.124448295,Soft Drinks,280.13,1992,Small,Cluster 1,Grocery Store,284.63
