customerid,systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,referredby,good_bad_flag
8a858f03582604ff0158260fcc730548,302001370,10,2017-07-28 21:33:41.000000,2017-07-28 20:33:33.000000,20000.0000,24500.0000,30,,Good
8a858f085b905684015b906e73a01478,302000465,4,2017-07-28 12:31:10.000000,2017-07-28 11:30:00.000000,20000.0000,24500.0000,30,,Good
8a858f1955b1c4df0155cd14c5b478ed,302000569,2,2017-07-28 13:17:13.000000,2017-07-28 12:16:00.000000,10000.0000,13000.0000,30,,Good
8a858f2656e154de0156e3a87cdc45fb,301982122,5,2017-07-17 15:27:00.000000,2017-07-17 14:26:52.000000,20000.0000,22250.0000,15,,Good
8a858f2e5c699f3a015c6cf27a036477,301959225,2,2017-07-01 17:42:36.000000,2017-07-01 16:42:30.000000,10000.0000,13000.0000,30,8a858fc55b2548dd015b286e452c678c,Good
8a858f335cd0c78e015cd435d7192800,301984674,2,2017-07-18 21:32:19.000000,2017-07-18 20:32:13.000000,10000.0000,11500.0000,15,,Good
8a858f3d5add42e2015ae0ca6cb66b83,301998400,8,2017-07-27 09:34:11.000000,2017-07-27 08:34:05.000000,30000.0000,34500.0000,30,,Good
8a858f4655ca643c0155cbc4e13945cc,301965090,15,2017-07-05 15:47:33.000000,2017-07-05 14:47:19.000000,40000.0000,44000.0000,30,,Good
8a858f4f5511dca201551b73634170b6,301997295,4,2017-07-26 16:15:25.000000,2017-07-26 15:15:18.000000,10000.0000,13000.0000,30,,Good
8a858f555cc65d60015cc72de106320c,301974694,2,2017-07-12 14:27:04.000000,2017-07-12 13:26:56.000000,10000.0000,13000.0000,30,8a858e6c5c88d145015c89430ef61a5d,Good
8a858f5e599783c0015997c56ef70ffa,302001086,3,2017-07-28 18:03:37.000000,2017-07-28 17:02:26.000000,10000.0000,11500.0000,15,,Good
8a858f60560bc43d01561d94abd91c48,301991908,4,2017-07-23 13:52:36.000000,2017-07-23 12:52:30.000000,10000.0000,11500.0000,15,,Good
8a858f6e5aa3c922015aa3d9cba10a74,301983676,5,2017-07-18 12:04:15.000000,2017-07-18 11:04:04.000000,20000.0000,22250.0000,15,,Good
8a858f785cea234f015cea434e0a09e6,301974590,2,2017-07-12 13:21:08.000000,2017-07-12 12:21:02.000000,10000.0000,13000.0000,30,8a858eba5c884d2a015c8bea59385157,Good
8a858f7e564ad338015654d3a5c242a5,301969110,8,2017-07-08 11:23:48.000000,2017-07-08 10:23:43.000000,30000.0000,34500.0000,30,,Good
8a858f9158aff6a30158b5f2ff887585,301985845,9,2017-07-19 14:55:01.000000,2017-07-19 13:54:53.000000,20000.0000,22250.0000,15,,Good
8a858f975c4582c4015c550ee4925686,301998392,3,2017-07-27 09:30:55.000000,2017-07-27 08:30:49.000000,10000.0000,13000.0000,30,,Good
8a858f995a4762a5015a4c25b0ea01c3,301981230,6,2017-07-17 07:53:36.000000,2017-07-17 06:53:30.000000,20000.0000,24500.0000,30,,Good
8a858fa45bd95e9a015be131cdec35a8,301962952,3,2017-07-04 11:33:25.000000,2017-07-04 10:33:20.000000,10000.0000,13000.0000,30,,Good
8a858fae5b49223f015b499e1cf9485b,301982904,4,2017-07-18 00:03:50.000000,2017-07-17 23:02:40.000000,10000.0000,13000.0000,30,,Bad
8a858fb15b34a708015b350c4a1a58d2,301994303,4,2017-07-24 21:45:42.000000,2017-07-24 20:45:34.000000,20000.0000,24500.0000,30,,Good
8a858fba5cd5feee015cda4f0fa423b4,301991730,2,2017-07-23 11:02:49.000000,2017-07-23 10:02:28.000000,10000.0000,11500.0000,15,,Good
8a858fc55b2fde30015b30c9256b43fd,302001637,5,2017-07-29 06:18:10.000000,2017-07-29 05:17:00.000000,20000.0000,24500.0000,30,,Good
8a858fcb5ca240f7015ca64a71fa1951,301960154,2,2017-07-02 17:46:44.000000,2017-07-02 16:46:39.000000,10000.0000,13000.0000,30,,Good
8a858fd45a4260bc015a42ac9e89278d,301961250,5,2017-07-03 15:36:32.000000,2017-07-03 14:36:27.000000,20000.0000,24500.0000,30,,Good
8a858fd95c3b5bca015c3fcc0b374c3e,301968227,2,2017-07-07 16:17:06.000000,2017-07-07 15:17:00.000000,10000.0000,13000.0000,30,,Good
8a85882953bc04f80153c205b75d7403,301990784,8,2017-07-22 13:50:43.000000,2017-07-22 12:50:30.000000,40000.0000,48000.0000,60,,Good
8a8588dc536a14130153753dc8d32698,301961089,17,2017-07-03 13:38:49.000000,2017-07-03 12:38:43.000000,40000.0000,44000.0000,30,,Good
8a8588fd53c244bc0153c8305ea7338f,301966060,4,2017-07-06 09:25:08.000000,2017-07-06 08:24:54.000000,20000.0000,22250.0000,15,,Bad
8a85895054a061920154a909b1a76c1d,301973229,12,2017-07-11 15:22:15.000000,2017-07-11 14:22:09.000000,30000.0000,34500.0000,30,,Good
8a8589b953bc23f70153c90114817143,301980705,7,2017-07-16 18:24:16.000000,2017-07-16 17:23:03.000000,30000.0000,39000.0000,60,,Bad
8a858e02578f616401579484a4963345,302002801,12,2017-07-29 22:01:27.000000,2017-07-29 21:01:19.000000,30000.0000,34500.0000,30,,Bad
8a858e0b5cfa2028015d092b47e27e30,301985334,2,2017-07-19 10:30:17.000000,2017-07-19 09:30:10.000000,10000.0000,13000.0000,30,,Good
8a858e1556321b940156548b9ca970a6,301984218,12,2017-07-18 16:35:30.000000,2017-07-18 15:35:23.000000,40000.0000,48000.0000,60,,Good
8a858e195b90e512015ba0eb4eed5ef5,301964674,5,2017-07-05 11:35:38.000000,2017-07-05 10:35:33.000000,20000.0000,24500.0000,30,8a858f9d5668e3f10156767e9a0f0188,Good
8a858e205af28299015af50a799745c5,301994002,7,2017-07-24 18:31:35.000000,2017-07-24 17:31:28.000000,30000.0000,39000.0000,60,,Good
8a858e2e5bb57a37015bbe1b8d6d3830,301964194,3,2017-07-05 06:01:31.000000,2017-07-05 05:01:26.000000,10000.0000,13000.0000,30,,Good
8a858e3559080830015923412dd84294,301972478,10,2017-07-11 07:16:04.000000,2017-07-11 06:14:54.000000,40000.0000,44000.0000,30,,Good
8a858e3e5b3ee747015b3f0409012b7f,301963059,5,2017-07-04 12:25:02.000000,2017-07-04 11:24:57.000000,30000.0000,39000.0000,60,,Good
8a858e4a5cac6f81015cad78a648389f,301988316,2,2017-07-20 20:56:49.000000,2017-07-20 19:56:43.000000,10000.0000,13000.0000,30,8a858f645cac1a7e015cac2a1a5911f4,Good
8a858e575bf80f73015bfbc59df93401,301967317,3,2017-07-07 02:10:23.000000,2017-07-07 01:10:15.000000,10000.0000,13000.0000,30,8a858fad5bf85d5e015bf8efc79e33dd,Good
8a858e625c8d993a015c95e7ced318df,301993647,2,2017-07-24 15:28:18.000000,2017-07-24 14:28:12.000000,10000.0000,13000.0000,30,,Good
8a858e655a047d1a015a12bb060936ff,301997062,3,2017-07-26 14:08:24.000000,2017-07-26 13:08:17.000000,10000.0000,13000.0000,30,,Good
8a858e6e55c554c20155c6d8e2925c62,301984086,8,2017-07-18 15:24:31.000000,2017-07-18 14:23:21.000000,10000.0000,13000.0000,30,,Good
8a858e785acd3412015acd7bdec42d4f,301965319,6,2017-07-05 18:12:38.000000,2017-07-05 17:12:30.000000,30000.0000,34500.0000,30,,Good
8a858e875c63d395015c74bdfd343206,302001775,2,2017-07-29 08:14:40.000000,2017-07-29 07:14:32.000000,10000.0000,13000.0000,30,,Good
8a858e8d56adbdae0156b30248fe3104,301975923,4,2017-07-13 11:54:39.000000,2017-07-13 10:54:31.000000,20000.0000,24500.0000,30,,Good
8a858e985885ff6d01589211d7c01088,301983843,6,2017-07-18 13:24:53.000000,2017-07-18 12:24:47.000000,20000.0000,24500.0000,30,,Good
8a858ea15ca2565c015ca6ed24977b5e,301976588,2,2017-07-13 19:45:05.000000,2017-07-13 18:44:57.000000,10000.0000,13000.0000,30,,Good
8a858eaa55a0b8ae0155bab849c616a1,301984604,2,2017-07-18 20:53:04.000000,2017-07-18 19:52:57.000000,10000.0000,13000.0000,30,,Good
8a858eb4596ff919015974a667560a89,301968410,8,2017-07-07 18:46:29.000000,2017-07-07 17:46:17.000000,30000.0000,34500.0000,30,,Good
8a858ec55b441639015b444e78b7361f,301979821,4,2017-07-15 23:07:28.000000,2017-07-15 22:07:21.000000,10000.0000,11125.0000,15,,Good
8a858ece5b0142e3015b0a3a7f183339,302001189,5,2017-07-28 19:14:09.000000,2017-07-28 18:14:01.000000,20000.0000,24500.0000,30,,Good
8a858eda552adcc20155307212b55ac2,301982461,11,2017-07-17 18:24:08.000000,2017-07-17 17:24:01.000000,30000.0000,34500.0000,30,,Good
8a858ee454da1cbd0154e2796fba7142,301978197,12,2017-07-14 18:59:53.000000,2017-07-14 17:58:41.000000,30000.0000,34500.0000,30,,Bad
8a858ee65a8401a1015a8447d2ac1cf2,302003266,6,2017-07-30 10:48:29.000000,2017-07-30 09:48:23.000000,20000.0000,24500.0000,30,,Good
8a858eef5554890501555868a7475f44,301977148,8,2017-07-14 09:22:18.000000,2017-07-14 08:22:11.000000,15000.0000,16687.5000,15,,Good
8a858eff55a090650155a13892552a0b,301991683,2,2017-07-23 10:20:52.000000,2017-07-23 09:20:29.000000,10000.0000,11500.0000,15,,Good
8a858f0656b7820c0156c3e3a61c1d33,301971016,15,2017-07-10 09:14:43.000000,2017-07-10 08:14:29.000000,50000.0000,52500.0000,30,,Good
8a858f0f5bfd79d2015c0331ce3378fe,301997626,2,2017-07-26 19:36:09.000000,2017-07-26 18:36:02.000000,10000.0000,11500.0000,15,,Good
8a858f1f587161850158742ebbce53d8,301974331,9,2017-07-12 10:36:23.000000,2017-07-12 09:36:17.000000,30000.0000,34500.0000,30,,Good
8a858f275c451af5015c49a2c43b5fb2,301980592,2,2017-07-16 16:54:48.000000,2017-07-16 15:54:40.000000,10000.0000,13000.0000,30,8a858e725c3ae262015c45243caa4f4d,Good
8a858f305cb1ec4e015cb215f0500a8d,301978868,2,2017-07-15 09:37:01.000000,2017-07-15 08:36:55.000000,10000.0000,13000.0000,30,8a858eda5c8863ff015c8b96e5fd74d0,Good
8a858f375cef1cbc015ceff67d505f59,302001119,2,2017-07-28 18:22:54.000000,2017-07-28 17:22:45.000000,10000.0000,13000.0000,30,,Good
8a858f425b85835d015b85bfe40538db,301966525,2,2017-07-06 14:18:08.000000,2017-07-06 13:18:02.000000,10000.0000,13000.0000,30,,Good
8a858f495c5973ce015c59c5f099417c,301994809,3,2017-07-25 08:51:56.000000,2017-07-25 07:51:50.000000,10000.0000,13000.0000,30,,Good
8a858f54589736f401589857085e3b5b,301981912,9,2017-07-17 13:40:41.000000,2017-07-17 12:39:28.000000,40000.0000,44000.0000,30,,Good
8a858f585bfd6341015c03694f85158f,301974102,4,2017-07-12 07:55:44.000000,2017-07-12 06:55:36.000000,10000.0000,11500.0000,15,,Good
8a858f5e5cf45779015cf47ed8db1872,302002546,2,2017-07-29 17:55:51.000000,2017-07-29 16:55:44.000000,10000.0000,13000.0000,30,8a858ed75732b681015744c9dee21aae,Good
8a858f665c45930d015c54a24fdc1f6c,301969912,2,2017-07-09 07:16:41.000000,2017-07-09 06:16:35.000000,10000.0000,11500.0000,15,,Good
8a858f6f5b3f095b015b4083532532a0,301990087,2,2017-07-21 22:03:47.000000,2017-07-21 21:03:41.000000,10000.0000,13000.0000,30,,Good
8a858f7a5ca22d3c015ca24d01461879,301973351,2,2017-07-11 16:27:12.000000,2017-07-11 15:27:06.000000,10000.0000,13000.0000,30,,Good
8a858f8d5cc56f9a015cc57e769908ac,301989000,2,2017-07-21 10:25:19.000000,2017-07-21 09:25:12.000000,10000.0000,13000.0000,30,,Bad
8a858f965bb63a25015bc22b915e62f1,301985658,5,2017-07-19 13:19:31.000000,2017-07-19 12:19:25.000000,20000.0000,22250.0000,15,,Good
8a858f985b80ab2c015b81098b8f2c2e,301983234,4,2017-07-18 08:36:51.000000,2017-07-18 07:35:40.000000,20000.0000,24500.0000,30,,Good
8a858fa15c8ceaaa015c8d79c65f4f86,301978213,2,2017-07-14 19:08:46.000000,2017-07-14 18:08:40.000000,10000.0000,13000.0000,30,8a858e135c7e2eec015c813211a96674,Good
8a858fa95b631878015b6401c15973f3,301967211,3,2017-07-06 22:39:36.000000,2017-07-06 21:39:30.000000,10000.0000,11500.0000,15,,Bad
8a858faf56b7821c0156b93cd62a6275,301960745,9,2017-07-03 09:57:35.000000,2017-07-03 08:56:28.000000,40000.0000,48000.0000,60,,Good
8a858fb45b3eef19015b3fa969390cd3,301989976,4,2017-07-21 20:18:20.000000,2017-07-21 19:18:04.000000,20000.0000,22250.0000,15,,Good
8a858fbd5cd6054a015ce82aa3914088,302003004,2,2017-07-30 05:35:13.000000,2017-07-30 04:35:05.000000,10000.0000,13000.0000,30,,Good
8a858fca5c830943015c835e839e33a5,301972727,2,2017-07-11 10:20:04.000000,2017-07-11 09:19:58.000000,10000.0000,11500.0000,15,8a858ff25c8250c1015c82907bc62b42,Good
8a858fcf5591c5cf015597c298cb15d9,301982812,2,2017-07-17 22:30:27.000000,2017-07-17 21:30:20.000000,10000.0000,13000.0000,30,,Good
8a858fd55c45ba15015c4f06ea176506,301991520,3,2017-07-23 07:25:02.000000,2017-07-23 06:24:55.000000,10000.0000,11500.0000,15,8a858e3a5bed83ab015bedad8d191c74,Good
8a858fdf5bf85f71015bfc1f51f9690a,301978816,2,2017-07-15 08:53:30.000000,2017-07-15 07:53:21.000000,10000.0000,13000.0000,30,,Good
8a858fea5b391cd7015b3936e1ca25c8,301960217,5,2017-07-02 18:51:47.000000,2017-07-02 17:51:43.000000,20000.0000,24500.0000,30,,Good
8a858ff45be92ea2015be98bc2162c96,301967768,2,2017-07-07 11:07:00.000000,2017-07-07 10:06:53.000000,10000.0000,13000.0000,30,,Good
8a858ffb5b350b52015b352574d219d9,301974266,4,2017-07-12 09:57:58.000000,2017-07-12 08:56:47.000000,20000.0000,24500.0000,30,,Good
8a8589a453bc422d0153c993db2604b6,301980988,11,2017-07-16 22:59:56.000000,2017-07-16 21:59:49.000000,40000.0000,44000.0000,30,,Bad
8a858e275c7ea5ec015c82482d7c3996,301972172,2,2017-07-10 21:21:46.000000,2017-07-10 20:21:40.000000,10000.0000,13000.0000,30,,Bad
8a858e885b68546c015b6cb377c12140,301959359,2,2017-07-01 20:37:48.000000,2017-07-01 19:37:42.000000,10000.0000,13000.0000,30,,Bad
8a858ee65be8d42d015bea072bee5936,301974609,4,2017-07-12 13:33:56.000000,2017-07-12 12:33:49.000000,20000.0000,24500.0000,30,,Bad
8a858f3455a0d8070155c5fee7cc0a6d,302000058,2,2017-07-28 08:45:33.000000,2017-07-28 07:44:22.000000,10000.0000,13000.0000,30,,Bad
8a858f7e5c69a6e3015c69b6aba2072e,301965257,2,2017-07-05 17:33:01.000000,2017-07-05 16:32:56.000000,10000.0000,11500.0000,15,8a858eb65b19b654015b19d9d5aa1ba1,Bad
8a858fd25c5a5bc7015c5b63cb92393a,301991539,2,2017-07-23 07:43:16.000000,2017-07-23 06:43:08.000000,10000.0000,13000.0000,30,,Bad
8a1edbf14734127f0147356fdb1b1eb2,301979352,3,2017-07-15 16:02:04.000000,2017-07-15 15:01:56.000000,10000.0000,11500.0000,15,,Good
8a85884e54a0565b0154ba3fa6c72e7e,301983552,3,2017-07-18 11:07:14.000000,2017-07-18 10:07:03.000000,10000.0000,11500.0000,15,,Good
8a8588f754a058cb0154b3b507dc1abe,302002166,7,2017-07-29 13:07:45.000000,2017-07-29 12:07:36.000000,30000.0000,34500.0000,30,,Good
8a85892e5425ad2001542d2827756546,301966927,5,2017-07-06 18:21:12.000000,2017-07-06 17:21:06.000000,20000.0000,24500.0000,30,,Good
8a8589b953d0be470153d0e6e1490a90,301994120,18,2017-07-24 19:39:37.000000,2017-07-24 18:39:30.000000,50000.0000,52500.0000,30,,Good
8a858e0458d4ac3d0158dd57e64e736c,301995112,2,2017-07-25 11:42:25.000000,2017-07-25 10:42:13.000000,10000.0000,13000.0000,30,,Bad
8a858e0d59b7438d0159b7e0aa7533cd,302001025,7,2017-07-28 17:25:03.000000,2017-07-28 16:24:54.000000,30000.0000,34500.0000,30,,Good
8a858e1556321b9401564c8d8e8144d8,301966102,12,2017-07-06 09:48:33.000000,2017-07-06 08:48:27.000000,20000.0000,22250.0000,15,,Bad
8a858e225c404292015c4419d23d04f8,301996254,3,2017-07-26 05:53:41.000000,2017-07-26 04:53:34.000000,10000.0000,13000.0000,30,,Good
8a858e3654e2a82401550631bfcd571d,301987129,3,2017-07-20 09:42:45.000000,2017-07-20 08:42:36.000000,10000.0000,13000.0000,30,,Good
8a858e445add19b4015addc433723178,301965422,7,2017-07-05 19:22:50.000000,2017-07-05 18:22:46.000000,30000.0000,39000.0000,60,,Good
8a858e5b5bd99460015bd9e9ee2e18f4,301985880,5,2017-07-19 15:12:57.000000,2017-07-19 14:12:50.000000,20000.0000,21750.0000,15,,Good
8a858e615c832be8015c83b1cd532bb9,301992885,3,2017-07-24 08:51:21.000000,2017-07-24 07:51:14.000000,10000.0000,11500.0000,15,,Bad
8a858e69566ae5b801567378795b7add,301969219,5,2017-07-08 13:12:30.000000,2017-07-08 12:12:24.000000,20000.0000,24500.0000,30,,Good
8a858e6e55c554c20155d574b4596645,302001070,2,2017-07-28 17:52:07.000000,2017-07-28 16:51:59.000000,10000.0000,13000.0000,30,,Bad
8a858e725b3424d2015b3427a76103d2,301987972,4,2017-07-20 17:10:56.000000,2017-07-20 16:10:42.000000,10000.0000,12250.0000,30,,Good
8a858e845accb4f9015accdccf761e20,302002022,5,2017-07-29 11:16:58.000000,2017-07-29 10:16:51.000000,10000.0000,13000.0000,30,,Good
8a858e9156e137c601570b2f414c4258,301976281,3,2017-07-13 15:45:59.000000,2017-07-13 14:45:53.000000,10000.0000,13000.0000,30,,Bad
8a858ea35a28b88b015a3be970e0681d,301965790,6,2017-07-06 03:15:27.000000,2017-07-06 02:15:22.000000,20000.0000,24500.0000,30,,Good
8a858eac5c451942015c58ac70523824,301963171,2,2017-07-04 13:25:54.000000,2017-07-04 12:25:46.000000,10000.0000,13000.0000,30,,Good
8a858eb95b3ed48c015b4034cc273ab2,301964139,2,2017-07-05 02:07:50.000000,2017-07-05 01:07:43.000000,10000.0000,13000.0000,30,,Good
8a858ebd5b254c8b015b2fd8dafc7cee,301960638,7,2017-07-03 08:41:03.000000,2017-07-03 07:40:58.000000,30000.0000,34500.0000,30,,Good
8a858ec65c123dfb015c150e513455db,302000057,2,2017-07-28 08:43:00.000000,2017-07-28 07:42:54.000000,10000.0000,13000.0000,30,,Good
8a858ed25ba09f98015ba3f2c69e6d69,301978182,2,2017-07-14 18:51:15.000000,2017-07-14 17:51:09.000000,10000.0000,11500.0000,15,,Good
8a858ed55bafadc7015bb15979d1553e,301977823,4,2017-07-14 15:03:03.000000,2017-07-14 14:02:56.000000,15000.0000,18375.0000,30,,Good
8a858eda5c8863ff015c911534db43b8,301981584,2,2017-07-17 10:59:02.000000,2017-07-17 09:58:55.000000,10000.0000,11500.0000,15,,Good
8a858ee0560bc07701561391bb845623,301998428,2,2017-07-27 09:53:27.000000,2017-07-27 08:52:14.000000,10000.0000,13000.0000,30,,Good
8a858ee55cb156e6015cbb9fb27c2ad1,301979496,2,2017-07-15 18:05:48.000000,2017-07-15 17:05:42.000000,10000.0000,13000.0000,30,8a8588dc536a141301538365df9251b8,Good
8a858ef258d4a48b0158e998c5794c1c,301972678,8,2017-07-11 09:47:14.000000,2017-07-11 08:46:04.000000,30000.0000,34500.0000,30,,Good
8a858eff55a090650155b7b1624119ab,301981694,2,2017-07-17 11:48:40.000000,2017-07-17 10:48:32.000000,10000.0000,11500.0000,15,,Good
8a858f065b1fe50a015b200b42462585,302003134,4,2017-07-30 08:44:38.000000,2017-07-30 07:43:28.000000,10000.0000,13000.0000,30,,Good
8a858f0d58a18ebc0158ab6deec27309,301978801,7,2017-07-15 08:45:34.000000,2017-07-15 07:44:21.000000,30000.0000,39000.0000,60,,Good
8a858f13556665aa01556dbccd6e1a20,301958939,12,2017-07-01 13:17:21.000000,2017-07-01 12:17:15.000000,40000.0000,44000.0000,30,,Good
8a858f1e5aec5791015aecbc59413486,301989227,4,2017-07-21 12:48:51.000000,2017-07-21 11:48:36.000000,10000.0000,11500.0000,15,,Bad
8a858f265b5c418f015b5c58effa1a88,301995427,2,2017-07-25 14:54:38.000000,2017-07-25 13:54:30.000000,10000.0000,13000.0000,30,,Good
8a858f2756cec0a30156e2d4cea415a3,301993582,10,2017-07-24 14:57:58.000000,2017-07-24 13:57:44.000000,30000.0000,39000.0000,60,,Good
8a858f2d5853901a01586382639065c7,301993916,3,2017-07-24 17:46:44.000000,2017-07-24 16:46:25.000000,10000.0000,13000.0000,30,,Good
8a858f315ccb979d015ccf98ddd4661f,301971434,2,2017-07-10 13:18:14.000000,2017-07-10 12:18:08.000000,10000.0000,11500.0000,15,,Good
8a858f3d5add42e2015ae9ab7c277132,301989546,6,2017-07-21 15:43:58.000000,2017-07-21 14:43:51.000000,30000.0000,34500.0000,30,,Good
8a858f465668e3d601566ad583100ef5,301982373,9,2017-07-17 17:21:33.000000,2017-07-17 16:21:26.000000,30000.0000,34500.0000,30,,Good
8a858f545908094b01591185749d6f25,301973433,6,2017-07-11 17:15:23.000000,2017-07-11 16:14:18.000000,20000.0000,24500.0000,30,,Good
8a858f595ccb6f86015cced9f57a03d6,301998238,2,2017-07-27 07:53:29.000000,2017-07-27 06:53:23.000000,10000.0000,13000.0000,30,,Good
8a858f60562378450156250366f10f86,301982565,9,2017-07-17 19:30:04.000000,2017-07-17 18:29:58.000000,30000.0000,34500.0000,30,,Good
8a858f6e5cb16eb9015cbb1fb520374d,301981043,2,2017-07-17 00:27:09.000000,2017-07-16 23:27:02.000000,10000.0000,13000.0000,30,,Good
8a858f7958b0a4a80158b47fb32010f3,301962513,11,2017-07-04 06:42:49.000000,2017-07-04 05:42:43.000000,40000.0000,44000.0000,30,,Good
8a858f7e5c213ef4015c21ca37fb3888,301965919,3,2017-07-06 07:44:45.000000,2017-07-06 06:44:37.000000,10000.0000,13000.0000,30,8a858f615b1ffb14015b2316f57f3839,Good
8a858f93572e873c01574753c9513a4e,301976223,7,2017-07-13 15:09:59.000000,2017-07-13 14:09:52.000000,20000.0000,24500.0000,30,,Good
8a858f975c4582c4015c4e5295c66873,301966141,2,2017-07-06 10:08:52.000000,2017-07-06 09:08:44.000000,10000.0000,13000.0000,30,,Good
8a858f9d5668e3f101566fb7494822f9,301977225,9,2017-07-14 10:04:58.000000,2017-07-14 09:04:50.000000,30000.0000,34500.0000,30,,Good
